BarTp,Trade,,,,,,,,BarTp,Bid,,,,,,,,BarTp,Ask,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
H15T10Y Index,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open
10/31/2017 16:03,0,0,1,2.38,2.38,2.38,2.38,,10/25/2017 16:03,0,0,1,2.44,2.44,2.44,2.44,,10/25/2017 16:03,0,0,1,2.44,2.44,2.44,2.44
11/1/2017 16:01,0,0,1,2.37,2.37,2.37,2.37,,10/26/2017 16:00,0,0,1,2.46,2.46,2.46,2.46,,10/26/2017 16:00,0,0,1,2.46,2.46,2.46,2.46
11/2/2017 16:05,0,0,1,2.35,2.35,2.35,2.35,,10/27/2017 16:22,0,0,1,2.42,2.42,2.42,2.42,,10/27/2017 16:22,0,0,1,2.42,2.42,2.42,2.42
11/3/2017 16:04,0,0,1,2.34,2.34,2.34,2.34,,10/30/2017 16:03,0,0,1,2.37,2.37,2.37,2.37,,10/30/2017 16:03,0,0,1,2.37,2.37,2.37,2.37
11/6/2017 16:03,0,0,1,2.32,2.32,2.32,2.32,,10/31/2017 16:03,0,0,1,2.38,2.38,2.38,2.38,,10/31/2017 16:03,0,0,1,2.38,2.38,2.38,2.38
11/7/2017 16:22,0,0,1,2.32,2.32,2.32,2.32,,11/1/2017 16:01,0,0,1,2.37,2.37,2.37,2.37,,11/1/2017 16:01,0,0,1,2.37,2.37,2.37,2.37
11/8/2017 16:04,0,0,1,2.32,2.32,2.32,2.32,,11/2/2017 16:05,0,0,1,2.35,2.35,2.35,2.35,,11/2/2017 16:05,0,0,1,2.35,2.35,2.35,2.35
11/9/2017 16:08,0,0,1,2.33,2.33,2.33,2.33,,11/3/2017 16:04,0,0,1,2.34,2.34,2.34,2.34,,11/3/2017 16:04,0,0,1,2.34,2.34,2.34,2.34
11/10/2017 16:00,0,0,1,2.4,2.4,2.4,2.4,,11/6/2017 16:03,0,0,1,2.32,2.32,2.32,2.32,,11/6/2017 16:03,0,0,1,2.32,2.32,2.32,2.32
11/13/2017 16:01,0,0,1,2.4,2.4,2.4,2.4,,11/7/2017 16:22,0,0,1,2.32,2.32,2.32,2.32,,11/7/2017 16:22,0,0,1,2.32,2.32,2.32,2.32
11/14/2017 16:04,0,0,1,2.38,2.38,2.38,2.38,,11/8/2017 16:04,0,0,1,2.32,2.32,2.32,2.32,,11/8/2017 16:04,0,0,1,2.32,2.32,2.32,2.32
11/15/2017 16:00,0,0,1,2.33,2.33,2.33,2.33,,11/9/2017 16:08,0,0,1,2.33,2.33,2.33,2.33,,11/9/2017 16:08,0,0,1,2.33,2.33,2.33,2.33
11/16/2017 16:03,0,0,1,2.37,2.37,2.37,2.37,,11/10/2017 16:00,0,0,1,2.4,2.4,2.4,2.4,,11/10/2017 16:00,0,0,1,2.4,2.4,2.4,2.4
11/17/2017 16:03,0,0,1,2.35,2.35,2.35,2.35,,11/13/2017 16:01,0,0,1,2.4,2.4,2.4,2.4,,11/13/2017 16:01,0,0,1,2.4,2.4,2.4,2.4
11/20/2017 16:26,0,0,1,2.37,2.37,2.37,2.37,,11/14/2017 16:04,0,0,1,2.38,2.38,2.38,2.38,,11/14/2017 16:04,0,0,1,2.38,2.38,2.38,2.38
11/21/2017 16:03,0,0,1,2.36,2.36,2.36,2.36,,11/15/2017 16:00,0,0,1,2.33,2.33,2.33,2.33,,11/15/2017 16:00,0,0,1,2.33,2.33,2.33,2.33
11/24/2017 15:34,0,0,1,2.34,2.34,2.34,2.34,,11/16/2017 16:03,0,0,1,2.37,2.37,2.37,2.37,,11/16/2017 16:03,0,0,1,2.37,2.37,2.37,2.37
11/28/2017 16:18,0,0,1,2.34,2.34,2.34,2.34,,11/17/2017 16:03,0,0,1,2.35,2.35,2.35,2.35,,11/17/2017 16:03,0,0,1,2.35,2.35,2.35,2.35
11/29/2017 16:05,0,0,1,2.37,2.37,2.37,2.37,,11/20/2017 16:26,0,0,1,2.37,2.37,2.37,2.37,,11/20/2017 16:26,0,0,1,2.37,2.37,2.37,2.37
12/1/2017 17:19,0,0,1,2.37,2.37,2.37,2.37,,11/21/2017 16:03,0,0,1,2.36,2.36,2.36,2.36,,11/21/2017 16:03,0,0,1,2.36,2.36,2.36,2.36
12/4/2017 16:18,0,0,1,2.37,2.37,2.37,2.37,,11/22/2017 17:59,0,0,1,2.32,2.32,2.32,2.32,,11/22/2017 17:59,0,0,1,2.32,2.32,2.32,2.32
12/5/2017 16:00,0,0,1,2.36,2.36,2.36,2.36,,11/24/2017 15:34,0,0,1,2.34,2.34,2.34,2.34,,11/24/2017 15:34,0,0,1,2.34,2.34,2.34,2.34
12/6/2017 16:05,0,0,1,2.33,2.33,2.33,2.33,,11/27/2017 17:59,0,0,1,2.32,2.32,2.32,2.32,,11/27/2017 17:59,0,0,1,2.32,2.32,2.32,2.32
12/7/2017 16:01,0,0,1,2.37,2.37,2.37,2.37,,11/28/2017 16:18,0,0,1,2.34,2.34,2.34,2.34,,11/28/2017 16:18,0,0,1,2.34,2.34,2.34,2.34
12/8/2017 16:01,0,0,1,2.38,2.38,2.38,2.38,,11/29/2017 16:05,0,0,1,2.37,2.37,2.37,2.37,,11/29/2017 16:05,0,0,1,2.37,2.37,2.37,2.37
12/11/2017 16:04,0,0,1,2.39,2.39,2.39,2.39,,11/30/2017 17:59,0,0,1,2.42,2.42,2.42,2.42,,11/30/2017 17:59,0,0,1,2.42,2.42,2.42,2.42
12/12/2017 16:10,0,0,1,2.4,2.4,2.4,2.4,,12/1/2017 17:19,0,0,1,2.37,2.37,2.37,2.37,,12/1/2017 17:19,0,0,1,2.37,2.37,2.37,2.37
12/13/2017 16:26,0,0,1,2.36,2.36,2.36,2.36,,12/4/2017 16:18,0,0,1,2.37,2.37,2.37,2.37,,12/4/2017 16:18,0,0,1,2.37,2.37,2.37,2.37
12/14/2017 16:07,0,0,1,2.35,2.35,2.35,2.35,,12/5/2017 16:00,0,0,1,2.36,2.36,2.36,2.36,,12/5/2017 16:00,0,0,1,2.36,2.36,2.36,2.36
12/15/2017 16:06,0,0,1,2.35,2.35,2.35,2.35,,12/6/2017 16:05,0,0,1,2.33,2.33,2.33,2.33,,12/6/2017 16:05,0,0,1,2.33,2.33,2.33,2.33
12/18/2017 16:00,0,0,1,2.39,2.39,2.39,2.39,,12/7/2017 16:01,0,0,1,2.37,2.37,2.37,2.37,,12/7/2017 16:01,0,0,1,2.37,2.37,2.37,2.37
12/19/2017 16:00,0,0,1,2.46,2.46,2.46,2.46,,12/8/2017 16:01,0,0,1,2.38,2.38,2.38,2.38,,12/8/2017 16:01,0,0,1,2.38,2.38,2.38,2.38
12/20/2017 16:00,0,0,1,2.49,2.49,2.49,2.49,,12/11/2017 16:04,0,0,1,2.39,2.39,2.39,2.39,,12/11/2017 16:04,0,0,1,2.39,2.39,2.39,2.39
12/21/2017 16:05,0,0,1,2.48,2.48,2.48,2.48,,12/12/2017 16:10,0,0,1,2.4,2.4,2.4,2.4,,12/12/2017 16:10,0,0,1,2.4,2.4,2.4,2.4
12/22/2017 15:19,0,0,1,2.48,2.48,2.48,2.48,,12/13/2017 16:26,0,0,1,2.36,2.36,2.36,2.36,,12/13/2017 16:26,0,0,1,2.36,2.36,2.36,2.36
12/26/2017 16:01,0,0,1,2.47,2.47,2.47,2.47,,12/14/2017 16:07,0,0,1,2.35,2.35,2.35,2.35,,12/14/2017 16:07,0,0,1,2.35,2.35,2.35,2.35
12/27/2017 16:12,0,0,1,2.42,2.42,2.42,2.42,,12/15/2017 16:06,0,0,1,2.35,2.35,2.35,2.35,,12/15/2017 16:06,0,0,1,2.35,2.35,2.35,2.35
12/28/2017 16:14,0,0,1,2.43,2.43,2.43,2.43,,12/18/2017 16:00,0,0,1,2.39,2.39,2.39,2.39,,12/18/2017 16:00,0,0,1,2.39,2.39,2.39,2.39
12/29/2017 15:23,0,0,1,2.4,2.4,2.4,2.4,,12/19/2017 16:00,0,0,1,2.46,2.46,2.46,2.46,,12/19/2017 16:00,0,0,1,2.46,2.46,2.46,2.46
1/2/2018 16:00,0,0,1,2.46,2.46,2.46,2.46,,12/20/2017 16:00,0,0,1,2.49,2.49,2.49,2.49,,12/20/2017 16:00,0,0,1,2.49,2.49,2.49,2.49
1/3/2018 16:04,0,0,1,2.44,2.44,2.44,2.44,,12/21/2017 16:05,0,0,1,2.48,2.48,2.48,2.48,,12/21/2017 16:05,0,0,1,2.48,2.48,2.48,2.48
1/4/2018 16:03,0,0,1,2.46,2.46,2.46,2.46,,12/22/2017 15:19,0,0,1,2.48,2.48,2.48,2.48,,12/22/2017 15:19,0,0,1,2.48,2.48,2.48,2.48
1/5/2018 16:19,0,0,1,2.47,2.47,2.47,2.47,,12/26/2017 16:01,0,0,1,2.47,2.47,2.47,2.47,,12/26/2017 16:01,0,0,1,2.47,2.47,2.47,2.47
